SM,"Irrigation, V(mL)",Red,Nir,Lst,NDVI,TVDI 1,TVDI 2,TVDI 3
0.074,500,119.543,156.854,21.0856,0.134992,0.285049,0.416581,0.297075
0.106,500,133.549,174.468,21.0494,0.132847,0.300106,0.410944,0.287978
0.067,0,145.998,188.928,22.8469,0.128179,1.10753,1.09684,0.739147
0.068,0,128.062,169.866,23.2465,0.140318,1.17007,1.12859,0.839444
0.052,0,132.405,174.379,23.03,0.136818,1.10683,1.08492,0.785097
0.0501,0,146.298,188.78,22.2508,0.12678,0.875314,0.885388,0.589518
0.095,500,136.414,176.192,21.4145,0.127245,0.526642,0.567838,0.379605
0.101,500,130.142,169.592,21.0701,0.131617,0.326083,0.422637,0.293179
0.148,1500,110.123,140.839,20.7996,0.122393,0.338854,0.351703,0.225289
0.143,1500,117.067,151.516,20.7079,0.12826,0.221734,0.299919,0.202252
0.113,1000,136.418,180.085,20.9694,0.137965,0.190316,0.366849,0.26789
0.052,1000,114.092,151.179,20.791,0.139807,0.0825146,0.301185,0.223134
0.047,1000,92.3727,122.366,20.5906,0.139674,-0.00443273,0.233511,0.172819
0.052,1000,125.385,164.258,20.8369,0.134208,0.18955,0.331144,0.234651
0.129,1500,104.706,135.697,20.0882,0.128911,-0.0449405,0.0689134,0.0467306
0.135,1500,81.6513,102.535,20.5155,0.113384,0.342502,0.261575,0.153985
0.126,500,114.164,125.958,19.9395,0.0491158,0.289083,0.423059,0.348319
0.118,500,121.419,141.323,19.7869,0.0757551,0.293452,0.399143,0.309364
0.08,0,147.629,171.671,21.1647,0.0752971,0.825818,0.851997,0.661066
0.063,0,130.71,159.436,21.6766,0.0990029,1.09025,1.08019,0.791725
0.044,0,135.151,171.514,21.1837,0.118577,0.951002,0.954718,0.665906
0.074,0,148.377,178.21,20.7349,0.0913476,0.701034,0.738258,0.551347
0.118,500,130.428,152.937,19.5683,0.0794318,0.217416,0.329983,0.253563
0.112,500,117.016,127.091,19.6028,0.0412709,0.142602,0.313264,0.262374
0.187,1500,98.9369,107.702,19.5749,0.0424193,0.134586,0.305522,0.255253
0.152,1500,109.983,131.042,19.54,0.0873724,0.225112,0.326685,0.246328
0.13,1000,120.505,152.444,19.4293,0.117017,0.252486,0.311398,0.218077
0.121,1000,98.5449,147.312,18.7552,0.198357,0.179077,0.0832251,0.0460192
0.113,1000,92.0386,147.67,19.0602,0.232078,0.392824,0.251838,0.123868
0.147,1000,111.434,142.126,19.6863,0.121046,0.364143,0.40934,0.283679
0.181,1500,96.9601,115.248,19.0478,0.0861807,0.0306733,0.159619,0.120701
0.176,1500,82.0113,91.5683,19.3971,0.0550581,0.0952408,0.258265,0.209858
0.129,500,118.089,175.708,22.3458,0.196121,0.291687,0.430418,0.392348
0.136,500,126.027,185.662,22.204,0.191329,0.215213,0.376239,0.357469
0.065,0,145.805,210.713,23.7734,0.182062,0.647737,0.725666,0.743575
0.074,0,129.873,203.044,24.1554,0.219789,1.18673,1.16149,0.837558
0.069,0,132.788,205.184,23.9983,0.214207,1.05063,1.04293,0.798911
0.055,0,143.583,210.052,23.2447,0.18796,0.52809,0.627804,0.613503
0.109,500,134.108,195.331,22.0666,0.185842,0.140834,0.32553,0.323662
0.12,500,122.029,178.242,22.2399,0.187208,0.203083,0.372521,0.366289
0.156,1500,95.731,153.528,22.099,0.231874,0.485277,0.531567,0.331629
0.158,1500,106.372,168.63,21.7239,0.226392,0.277295,0.358307,0.239342
0.119,1000,124.564,187.431,21.431,0.201502,0.0101268,0.192666,0.167285
0.093,1000,95.8155,170.682,21.1825,0.280927,0.639245,0.463144,0.10614
0.082,1000,86.6323,163.982,20.8229,0.308641,1.05392,2.85951,0.0176555
0.093,1000,114.655,176.047,21.4079,0.211186,0.0522286,0.204468,0.161598
0.17,1500,95.6118,156.522,21.0862,0.241579,0.113908,0.151041,0.0824353
0.18,1500,77.1435,131.006,21.3749,0.258769,0.42723,0.376635,0.153465
0.097,500,127.229,167.713,22.2024,0.137259,0.518648,0.621457,0.46901
0.131,500,132.051,174.236,22.1663,0.137731,0.506292,0.612369,0.461432
0.071,0,145.413,191.242,23.8235,0.13613,1.08718,1.06883,0.809639
0.074,0,126.812,172.566,24.243,0.152831,1.34221,1.254,0.897787
0.063,0,130.7,177.402,23.9069,0.151581,1.20155,1.15035,0.827155
0.06,0,145.472,191.526,23.4003,0.13666,0.940473,0.953092,0.720712
0.094,500,137.989,179.932,22.3636,0.131927,0.568809,0.654824,0.502881
0.126,500,133.095,174.503,22.0925,0.134617,0.477926,0.585753,0.445916
0.142,1500,99.3338,134.489,21.7447,0.150351,0.354712,0.516299,0.372824
0.146,1500,108.365,146.549,21.4926,0.149789,0.257355,0.442096,0.31986
0.122,1000,131.627,177.412,21.987,0.148153,0.447634,0.582409,0.42375
0.086,1000,101.621,144.346,21.8378,0.173703,0.393978,0.590976,0.392402
0.074,1000,92.6773,133.755,21.0427,0.181412,-0.00495386,0.349462,0.225334
0.103,1000,119.533,162.469,21.5943,0.152255,0.295218,0.475673,0.341234
0.15,1500,100.504,132.663,20.2221,0.137924,-0.184968,0.0702484,0.0528997
0.155,1500,78.7917,103.554,20.5537,0.135798,-0.0607881,0.16163,0.122569
0.135,500,109.138,135.19,20.9901,0.106627,0.720244,0.747961,0.426858
0.093,500,117.225,149.144,21.2086,0.11983,0.583777,0.679692,0.476562
0.07,0,145.892,186.825,22.7551,0.123026,1.17547,1.13069,0.828476
0.067,0,128.485,169.076,23.1995,0.136409,1.11314,1.07475,0.929602
0.053,0,133.136,172.75,23.0564,0.129508,1.17964,1.12586,0.897034
0.06,0,147.01,188.425,22.5018,0.123467,1.06175,1.04579,0.770826
0.091,500,125.48,160.269,21.3428,0.121749,0.607933,0.704214,0.507108
0.126,500,112.241,144.456,20.8545,0.1255,0.343913,0.522998,0.395992
0.198,1500,100.944,123.65,20.2456,0.1011,0.486276,0.4988,0.257429
0.172,1500,98.2206,124.152,20.1688,0.116613,0.194931,0.358486,0.239957
0.098,1000,104.991,136.124,20.9375,0.129119,0.321864,0.523243,0.41489
0.122,1000,95.0898,123.789,20.7724,0.13112,0.22436,0.46428,0.377312
0.091,1000,76.8516,101.413,20.1655,0.137782,-0.113495,0.272297,0.239214
0.131,1000,92.7982,119.953,20.5333,0.127636,0.178926,0.414897,0.322901
0.159,1500,83.3465,100.43,19.4192,0.092959,0.249206,0.159285,0.0693949
0.177,1500,74.426,91.9828,19.4448,0.105504,0.0539141,0.134411,0.0752175
0.115,500,112.793,145.068,21.4601,0.125165,0.423765,0.521583,0.397906
0.139,500,122.365,161.26,21.6201,0.137134,0.462355,0.589752,0.433589
0.073,0,145.58,188.674,23.2538,0.128928,1.07137,1.05778,0.797758
0.072,0,127.916,172.419,23.7199,0.148179,1.38852,1.27056,0.90167
0.069,0,131.965,176.239,23.45,0.143652,1.23266,1.16851,0.841486
0.065,0,147.608,191.631,22.9779,0.129772,0.973617,0.978763,0.736254
0.131,500,132.061,171.71,21.8183,0.130521,0.546192,0.636595,0.477763
0.127,500,116.852,151.321,21.4186,0.128533,0.40226,0.514733,0.388672
0.156,1500,99.4786,128.511,20.9401,0.127343,0.232772,0.372111,0.282003
0.143,1500,97.1562,128.421,20.9589,0.138599,0.192885,0.391055,0.286181
0.131,1000,111.085,149.358,21.0843,0.146954,0.205819,0.440888,0.314131
0.101,1000,100.229,137.913,20.9226,0.15824,0.0578196,0.405165,0.278105
0.09,1000,80.994,114.703,20.8545,0.172251,-0.121857,0.401994,0.262904
0.122,1000,104.723,136.252,20.8343,0.130837,0.17981,0.344654,0.25841
0.135,1500,85.2834,109.557,19.7943,0.124581,-0.158179,0.0347705,0.0265727
0.134,1500,73.1204,94.6568,20.0804,0.128363,-0.0831939,0.119608,0.0903626
0.097,500,120.126,159.695,20.7993,0.141406,0.249877,0.498133,0.438344
0.124,500,130.404,172.315,20.8426,0.138449,0.43283,0.566052,0.448213
0.042,0,143.212,187.761,22.439,0.134598,1.21396,1.19848,0.811426
0.052,0,125.109,167.264,22.8223,0.144183,0.888084,0.933423,0.898626
0.054,0,130.119,173.361,22.0274,0.142487,0.66624,0.786869,0.71777
0.054,0,146.931,191.29,21.9121,0.131153,1.18081,1.20398,0.691527
0.092,500,137.45,178.923,21.006,0.131087,0.865776,0.847967,0.485387
0.13,500,123.844,163.512,20.6068,0.138045,0.366576,0.505976,0.394547
0.169,1500,95.7971,123.696,20.398,0.127106,0.841055,0.76483,0.347047
0.138,1500,99.4434,131.71,20.2023,0.139591,0.126638,0.366312,0.302527
0.14,1000,130.862,172.008,20.1978,0.135852,0.334877,0.422011,0.301496
0.079,1000,110.119,148.064,19.9157,0.146971,-0.452622,0.226912,0.237311
0.082,1000,93.3147,124.854,20.4176,0.144565,-0.0913447,0.360842,0.351498
0.098,1000,110.593,144.033,20.5109,0.13133,0.68019,0.643044,0.372733
0.175,1500,85.8226,113.359,19.0495,0.138246,-0.22822,0.0511986,0.0402301
0.178,1500,74.5812,97.4554,19.4731,0.132961,0.228823,0.217429,0.136601
0.098,500,94.4087,117.462,21.1347,0.108808,0.669524,0.729781,0.510321
0.112,500,109.597,140.035,21.5061,0.121931,0.701315,0.804221,0.6051
0.079,0,146.671,188.363,22.6731,0.12444,1.29361,1.1841,0.902953
0.049,0,128.969,169.898,22.9793,0.136948,1.41644,1.2065,0.981123
0.047,0,131.123,171.89,22.705,0.134538,1.25778,1.13401,0.911109
0.075,0,151.114,193.067,22.2932,0.121892,1.10894,1.07146,0.805996
0.081,500,118.701,149.671,21.728,0.115399,0.879352,0.911536,0.661738
0.119,500,98.0509,124.177,20.9175,0.117566,0.461121,0.619107,0.454877
0.196,1500,108.479,131.967,20.2862,0.0976856,0.435322,0.449007,0.293763
0.176,1500,112.829,141.999,20.3503,0.114468,0.233894,0.429417,0.310122
0.142,1000,107.615,140,21.1227,0.130788,0.361536,0.643505,0.507248
0.117,1000,85.1385,110.959,21.121,0.131673,0.344516,0.640045,0.506813
0.099,1000,66.4597,91.7087,21.1309,0.159634,-0.479969,0.56279,0.509345
0.135,1000,91.4393,118.431,21.186,0.12861,0.435013,0.671507,0.5234
0.148,1500,85.6766,107.121,19.7055,0.111228,-0.0112213,0.205249,0.145537
0.176,1500,80.9317,97.3559,19.5063,0.0921218,0.200509,0.149896,0.0946931
0.113,500,100.955,133.943,21.7379,0.140435,0.326872,0.44244,0.319893
0.111,500,124.813,166.066,21.8138,0.141821,0.359762,0.470306,0.339094
0.067,0,144.887,188.648,23.6801,0.131203,1.12248,1.10223,0.81172
0.076,0,127.175,172.737,24.1658,0.151917,1.39424,1.32331,0.934703
0.052,0,128.089,173.754,23.8189,0.151287,1.24056,1.19739,0.846857
0.072,0,147.623,190.709,23.4395,0.127349,1.01408,1.01179,0.750783
0.103,500,137.266,177.22,21.8103,0.127046,0.349814,0.45551,0.338205
0.126,500,112.704,147.301,21.7403,0.133064,0.324211,0.436801,0.320495
0.288,1500,97.4144,126.261,21.5566,0.128965,0.24702,0.37039,0.273973
0.245,1500,102.734,137.038,21.3845,0.143071,0.177642,0.320357,0.230398
0.131,1000,119.396,156.951,21.3852,0.135896,0.177351,0.316001,0.230559
0.084,1000,86.4988,119.864,21.1409,0.161681,0.0695131,0.243721,0.168691
0.092,1000,67.9336,104.919,21.1987,0.213971,0.0852705,0.297562,0.183348
0.107,1000,97.5184,132.445,21.1865,0.15188,0.0918124,0.255184,0.18026
0.153,1500,81.7344,107.414,20.5923,0.135764,-0.15351,0.0407985,0.0297751
0.144,1500,78.4936,100.394,20.5488,0.122424,-0.160019,0.0250313,0.0187533
0.108,500,110.858,145.592,21.6501,0.135445,0.395688,0.502445,0.367638
0.12,500,131.262,171.347,21.5581,0.132464,0.357035,0.467634,0.346175
0.069,0,145.54,190.044,23.4949,0.132616,1.09482,1.07849,0.797901
0.065,0,127.707,172.737,23.7059,0.149876,1.28439,1.22729,0.84709
0.059,0,129.29,173.388,23.6342,0.145695,1.22625,1.18247,0.83037
0.055,0,146.696,191.254,23.0772,0.131848,0.932399,0.943963,0.70046
0.104,500,138.459,177.73,21.5947,0.124201,0.362457,0.464263,0.354708
0.137,500,119.318,155.423,21.5873,0.131417,0.367028,0.474891,0.352977
0.258,1500,95.3979,122.438,21.314,0.124129,0.260451,0.378468,0.289237
0.199,1500,108.288,142.032,20.937,0.134805,0.119854,0.274454,0.201323
0.14,1000,126.774,170.038,20.9684,0.145762,0.128453,0.297191,0.20864
0.105,1000,95.9636,131.14,20.668,0.154892,-0.00605552,0.205065,0.13858
0.111,1000,76.6319,107.7,20.653,0.168544,-0.0320053,0.2122,0.135074
0.111,1000,102.69,138.234,20.8661,0.147531,0.0852385,0.265135,0.184786
0.153,1500,89.1074,114.69,20.3492,0.12553,-0.0920103,0.0844744,0.0642179
0.183,1500,79.4433,103.617,20.5068,0.132053,-0.0424723,0.136188,0.100977
0.071,0,121.744,166.93,21.4828,0.156532,0.265842,0.542699,0.506766
0.095,0,134.529,183.051,22.0953,0.152786,0.438689,0.666818,0.663518
0.065,0,141.346,190.179,22.9953,0.147298,0.683757,0.823976,0.893859
0.037,0,119.788,168.85,23.1989,0.169978,1.42243,1.32508,0.94597
0.033,0,125.393,173.777,23.0856,0.161728,1.11974,1.08029,0.916969
0.075,0,141.662,191.635,22.6986,0.149934,0.625465,0.785177,0.817915
0.081,0,136.715,184.644,22.1684,0.149147,0.378793,0.646931,0.682238
0.09,0,126.032,173.776,21.3993,0.159247,0.297562,0.545762,0.485396
0.142,0,94.7619,133.423,20.4661,0.169427,0.135008,0.341066,0.246559
0.13,0,108.951,156.014,20.4233,0.177621,0.334645,0.400044,0.235591
0.102,0,134.847,183.518,21.7132,0.152878,0.275368,0.569386,0.565717
0.061,0,120.764,169.986,21.6854,0.169293,0.697875,0.770408,0.55862
0.053,0,101.333,148.807,21.3227,0.189791,1.15128,1.19471,0.465794
0.061,0,126.643,175.092,21.4543,0.160568,0.35601,0.575546,0.499453
0.145,0,105.458,149.026,19.6543,0.171198,-0.198978,0.0558723,0.0387725
0.139,0,91.0315,127.095,19.8129,0.165334,-0.26754,0.100481,0.0793646
0.083,0,129.074,173.535,20.4667,0.146926,0.39136,0.475499,0.413998
0.097,0,136.64,181.511,20.9395,0.141035,0.482599,0.536254,0.538218
0.071,0,139.217,186.045,21.8589,0.143969,0.808936,0.831802,0.779752
0.049,0,123.062,168.284,22.2579,0.155216,1.37233,1.29428,0.884585
0.039,0,124.904,169.392,21.7433,0.151166,0.960302,0.967068,0.749397
0.075,0,139.621,185.416,21.2146,0.140892,0.56111,0.606304,0.610488
0.078,0,139.167,185.543,20.9113,0.142823,0.493727,0.551024,0.530804
0.092,0,129.338,174.067,20.2291,0.147423,0.311549,0.409065,0.351565
0.169,0,115.529,156.659,19.4134,0.151111,0.00826033,0.176835,0.13725
0.138,0,115.606,157.73,19.0406,0.154114,-0.177629,0.0554916,0.0393082
0.118,0,135.354,182.128,20.1796,0.147328,0.293306,0.39294,0.338551
0.052,0,121.31,167.298,20.1029,0.159344,0.375896,0.539445,0.318415
0.061,0,101.541,141.02,20.4319,0.162757,0.689656,0.788901,0.404857
0.08,0,126.737,171.526,20.5274,0.150167,0.449914,0.539115,0.429932
0.17,0,111.031,149.672,19.1795,0.14822,-0.0670845,0.0900871,0.0758031
0.158,0,95.0428,128.87,19.5988,0.151074,0.0839206,0.239345,0.185968
0.079,0,124.53,168.406,23.1716,0.149781,0.442546,0.525854,0.439676
0.102,0,134.314,180.019,23.4107,0.145404,0.477845,0.530987,0.504409
0.066,0,140.291,186.466,24.323,0.141313,0.690775,0.711341,0.751421
0.041,0,120.801,166.139,24.7508,0.158007,1.55184,1.39388,0.867231
0.032,0,123.731,168.347,24.2919,0.152757,0.974414,0.979276,0.742999
0.063,0,138.099,184.187,23.7088,0.143004,0.541184,0.577976,0.585117
0.065,0,138.201,183.809,23.6181,0.141635,0.500413,0.534897,0.560552
0.101,0,132.071,177.131,22.8013,0.145728,0.285518,0.360473,0.339393
0.157,0,112.282,152.897,22.0721,0.153162,-0.00804641,0.189726,0.141952
0.16,0,118.735,161.274,21.6445,0.151921,-0.175441,0.0335707,0.0262006
0.116,0,136.722,182.676,22.7973,0.143877,0.278558,0.341847,0.33831
0.057,0,120.523,165.651,22.982,0.157691,0.467233,0.616019,0.388335
0.061,0,100.027,139.356,23.6125,0.164292,1.41793,1.21869,0.559038
0.06,0,124.954,169.852,23.5029,0.152299,0.616658,0.686904,0.529353
0.134,0,111.512,151.098,22.0928,0.150742,0.024144,0.181951,0.147582
0.136,0,96.0225,130.238,22.3956,0.151222,0.143445,0.287446,0.229564
0.085,1000,92.5151,112.961,21.2793,0.0995036,0.29424,0.330197,0.232643
0.093,1000,100.275,124.52,21.5574,0.107857,0.405302,0.463922,0.344313
0.059,0,150.588,190.574,22.7372,0.117204,1.05067,1.04325,0.818195
0.046,0,127.963,167.286,23.0407,0.133185,1.12511,1.09791,0.940094
0.044,0,129.565,171.132,22.6757,0.138235,0.872415,0.902703,0.793478
0.074,0,148.281,189.519,22.4409,0.122077,0.840127,0.867214,0.699171
0.099,1000,111.918,142.522,21.619,0.12028,0.359175,0.46241,0.369064
0.127,1000,90.7907,110.468,21.1633,0.0977697,0.236103,0.266978,0.186016
0.213,1500,100.342,122.524,20.9666,0.0995305,0.106217,0.151898,0.107039
0.179,1500,106.605,133.822,21.2693,0.113205,0.19662,0.298336,0.228606
0.134,1000,108.816,139.373,21.8355,0.123117,0.470036,0.562338,0.456006
0.128,1000,83.3471,110.071,21.8744,0.138167,0.392781,0.536771,0.471657
0.08,1000,67.9037,93.0114,21.9728,0.156031,0.332466,0.532941,0.51117
0.127,1000,96.2242,119.513,22.1647,0.107952,0.769258,0.792121,0.588234
0.182,1500,88.0433,107.889,21.3644,0.101287,0.333408,0.374429,0.266814
0.235,1500,83.6699,101.294,20.9535,0.0952845,0.126694,0.148446,0.101768
0.068,1000,105.218,130.629,22.5363,0.107744,0.144059,0.255403,0.221257
0.092,1000,110.249,141.144,22.5634,0.122895,0.173384,0.271032,0.229172
0.05,0,146.529,187.195,24.5613,0.121854,0.954628,0.960026,0.81312
0.04,0,126.888,165.832,25.0412,0.13304,1.16444,1.14638,0.953394
0.03,0,130.598,171.062,23.8928,0.134137,0.712848,0.744112,0.617726
0.051,0,145.216,187.673,24.148,0.127541,0.802401,0.824996,0.692326
0.087,1000,124.818,159.669,22.6133,0.122505,0.192426,0.288079,0.243739
0.125,1000,104.411,129.457,22.4367,0.107096,0.104637,0.221555,0.192132
0.203,1500,100.06,127.058,22.2527,0.118873,0.0468923,0.162562,0.13835
0.173,1500,104.223,134.73,22.3011,0.127667,0.0762328,0.181766,0.152504
0.142,1000,114.069,149.66,22.5022,0.134953,0.164454,0.254851,0.21128
0.133,1000,96.808,127.908,22.3758,0.138398,0.118723,0.2115,0.174343
0.1,1000,78.9302,106.57,22.6195,0.149001,0.229187,0.303259,0.245576
0.107,1000,102.777,138.142,22.682,0.146794,0.251175,0.324585,0.263827
0.242,1500,88.7918,112.63,22.0391,0.118348,-0.0371747,0.089131,0.0759199
0.156,1500,88.9823,110.584,22.228,0.108241,0.0250484,0.1515,0.131142
0.108,1000,113.772,143.709,21.0324,0.116266,0.370005,0.419819,0.352112
0.126,1000,117.316,152.674,20.9947,0.130959,0.157982,0.386019,0.343006
0.084,0,144.168,185.253,23.2412,0.124719,1.02625,1.02121,0.885794
0.075,0,125.235,164.721,23.5815,0.136179,1.10227,1.06812,0.968021
0.073,0,129.51,170.37,22.8362,0.136256,0.803341,0.869179,0.787951
0.082,0,146.181,186.866,22.8514,0.12216,0.907119,0.921856,0.791616
0.109,1000,130.509,168.486,21.1952,0.127015,0.290018,0.447277,0.391453
0.125,1000,112.99,144.14,20.8962,0.121146,0.266747,0.373238,0.319222
0.195,1500,102.721,130.02,20.7245,0.117295,0.260841,0.32976,0.277728
0.198,1500,104.139,133.927,20.7638,0.125122,0.166094,0.330604,0.287218
0.157,1000,127.876,165.432,20.985,0.128042,0.200166,0.387712,0.340673
0.135,1000,109.713,146.142,20.9225,0.142381,-0.0917667,0.351096,0.32558
0.106,1000,86.0326,112.678,20.8551,0.134091,0.0506571,0.343949,0.309278
0.139,1000,111.454,144.546,21.2249,0.129267,0.26886,0.451533,0.398629
0.187,1500,93.4907,119.728,20.1517,0.123054,-0.0105104,0.1617,0.139346
0.143,1500,94.8979,118.158,20.0917,0.109174,0.171368,0.15323,0.12483
